#Supplementary Table 21: Meta-analysis results for ICD10/ICF subchapter level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICD-10/ICF subchapter,rMZall,rMZM,rMZF,rDZall,rDZSS,rDZM,rDZF,rDOS,SE_MZall,SE_MZM,SE_MZF,SE_DZall,SE_DZSS,SE_DZM,SE_DZF,SE_DOS,AFULL_all,ABEST_all,AFULL_SS,ABEST_SS,AFULL_M,ABEST_M,AFULL_F,ABEST_F,SE_AFULL_all,SE_ABEST_all,SE_AFULL_SS,SE_ABEST_SS,SE_AFULL_M,SE_ABEST_M,SE_AFULL_F,SE_ABEST_F,CFULL_all,CBEST_all,CFULL_SS,CBEST_SS,CFULL_M,CBEST_M,CFULL_F,CBEST_F,SE_CFULL_all,SE_CBEST_all,SE_CFULL_SS,SE_CBEST_SS,SE_CFULL_M,SE_CBEST_M,SE_CFULL_F,SE_CBEST_F,freq_rMZall,freq_rMZM,freq_rMZF,freq_rDZall,freq_rDZSS,freq_rDZM,freq_rDZF,freq_rDOS,freq_AFULL_all,freq_ABEST_all,freq_AFULL_SS,freq_ABEST_SS,freq_AFULL_M,freq_ABEST_M,freq_AFULL_F,freq_ABEST_F,freq_CFULL_all,freq_CBEST_all,freq_CFULL_SS,freq_CBEST_SS,freq_CFULL_M,freq_CBEST_M,freq_CFULL_F,freq_CBEST_F,nMZall,nMZM,nMZF,nDZall,nDZSS,nDZM,nDZF,nDOS,nAFULL_all,nABEST_all,nAFULL_SS,nABEST_SS,nAFULL_M,nABEST_M,nAFULL_F,nABEST_F,nCFULL_all,nCBEST_all,nCFULL_SS,nCBEST_SS,nCFULL_M,nCBEST_M,nCFULL_F,nCBEST_F
Thyrotoxicosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,15,NA,NA,NA,23,NA,NA,NA,NA,NA,38,38,NA,NA,NA,NA,NA,NA,38,38,NA,NA,NA,NA
Undescended Testicle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unspecified Chronic Bronchitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1,2,0,0,1,1,1,1,340,116,210,970,476,166,302,486,"1,311","23,770",NA,NA,282,282,512,512,"1,311","23,770",NA,NA,282,282,512,512
Unspecified Disorder of Adult Personality and Behaviour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA,0.013,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.016,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,1,3,0,0,1,1,1,1,1,3,0,0,1,1,1,1,"1,337",441,896,"1,433",754,232,522,679,"1,386","4,167",NA,NA,337,337,709,709,"1,386","4,167",NA,NA,337,337,709,709
Unspecified Mental Disorder,NA,0.474,NA,NA,NA,0.323,NA,NA,NA,0.021,NA,NA,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,0,2,4,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,"10,058","5,158","5,472",NA,"15,710","7,922","8,328",NA,NA,NA,NA,NA,274,"1,112",NA,NA,NA,NA,NA,NA,274,"1,112",NA,NA
Unspecified Nonorganic Psychosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urinary Bladder,NA,NA,0.514,NA,NA,NA,0.237,NA,NA,NA,0.044,NA,NA,NA,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,264,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urination Functions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,"1,010",450,560,"1,922","1,002",492,510,920,"2,932",NA,NA,NA,942,NA,"1,070",NA,"2,932",NA,NA,NA,942,NA,"1,070",NA
Urticaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,39,12,22,112,55,22,27,49,151,NA,NA,NA,34,NA,49,NA,151,NA,NA,NA,34,NA,49,49
Vascular Dementia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vascular Syndromes of Brain In Cerebrovascular Diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,455,43,NA,NA,784,NA,NA,NA,NA,NA,"1,239",NA,NA,NA,NA,NA,NA,NA,"1,239",NA,NA,NA,NA,NA
Viral Agents As the Cause of Diseases Classified to Other Chapters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,36,12,17,374,139,76,48,211,410,410,NA,NA,NA,NA,NA,NA,410,410,NA,NA,NA,NA,NA,NA
Visual Disturbances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Voice Disturbances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X-Inactivation,NA,NA,0.575,NA,NA,NA,0.141,NA,NA,NA,0.035,NA,NA,NA,0.040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,0,0,8,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,NA,NA,512,NA,NA,NA,614,NA,NA,NA,NA,NA,NA,NA,458,458,NA,NA,NA,NA,NA,NA,458,458
